scenario,size,reps,dC_mean,dC_mcsd,cv_dC,dQ_mean,dQ_mcsd,cv_dQ,icer_mean
B_transport,5000,5,110773.8806585388,1035.578032208557,.009348576,.1010696168049731,.0178238855520886,.17635256,1096015.6
B_transport,10000,5,111984.2415718755,1433.406742792594,.012800075,.0992989507971966,.0095141190337064,.095812887,1127748.5
B_transport,20000,5,110072.3316654159,1079.349120616812,.0098058172,.095524632781394,.007411098423525,.077583112,1152292.6
B_transport,40000,5,110263.6032746909,1025.982237766103,.0093048131,.0948428219074998,.0072771434966981,.076728456,1162593
