BCR,N,Mean,Median,P25,P75,Censored,M12,M24
1,84,13.401034,8.2135525,5.7494864,11.926078,9.5238094,25,14.030612
2,208,14.476303,8.0492811,5.0924025,12.057495,22.596153,25.203234,8.1371403
3,271,11.102921,5.5195074,3.3839836,9.3963041,16.236162,17.853462,9.7400236
4,89,3.5871346,3.0882957,2.0369611,4.7310061,6.7415729,0,0
5,188,22.072187,4.3696098,1.7741274,14.587269,35.638298,25.453671,23.183609
6,26,13.187174,3.3511293,1.8398358,7.5893226,53.846153,11.538462,11.538462
