BCR,N,Median,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y10,Censored
1,114,79.14579,.93202281,.92092729,.8126483,.78209758,.67576694,.54425406,.42762819,.38011396,.38011396,68.421051
2,182,63.835728,.90314573,.81840849,.69461066,.62449479,.5431878,.43887809,.3420803,.29117548,.19966319,57.692307
3,253,41.560574,.87744981,.7014944,.57151306,.47973254,.39050558,.34050745,.32502985,.2676079,.2432799,49.407116
4,80,34.759754,.71141148,.56752151,.48593697,.31593728,.25849414,.1809459,.1809459,.13570942,,36.25
5,125,58.907597,.82987499,.67906207,.62229878,.54632962,.43785834,.38715896,.3387641,.24197435,.24197435,54.400002
6,72,20.435318,.58141643,.38574746,.18265572,.16236064,.14206555,.12177048,.050737698,,,19.444445
