BCR,N,Mean,Median,P25,P75,Censored
1,111,31.210009,16.361397,5.8151951,61.240246,48.648647
2,182,23.085518,7.983573,4.5995893,24.673512,31.868132
3,253,16.670208,6.2422996,3.449692,14.521561,22.134388
4,80,14.153972,4.7967148,1.6098562,10.77618,23.75
5,123,33.447582,5.1581111,2.5297742,18.891171,40.650406
6,72,7.4702291,2.5297742,1.3470225,6.8665299,23.611111
