BCR,N,Median,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y10,Censored
1,191,107.66325,.99468082,.96282369,.87713057,.81249243,.75065881,.65969098,.59698337,.55608428,.40193373,73.821991
2,222,103.75359,.98580199,.94071656,.9098931,.83860004,.79974431,.68757492,.64059776,.56087035,.44142574,77.027023
3,129,118.43942,.97573107,.93262202,.89534903,.80141741,.72767133,.69794518,.6300894,.56850171,.49561688,71.317833
4,101,111.11294,.9566763,.89796394,.88475859,.82690603,.74802047,.71061945,.59987354,.59987354,.47989884,79.207924
