Line,N,CR,VG,PR,MR,SD,PD
1,1689,10.420367,25.577265,30.905861,6.3943162,25.103611,1.598579
2,643,29.70451,34.525661,20.062208,15.707621,,
3,826,13.801453,22.033897,30.629539,9.6852303,15.133172,8.7167072
4,440,10.681818,18.636364,27.5,11.136364,14.318182,17.727272
5,252,9.5238094,13.095238,26.587301,12.698413,16.269842,21.825397
6,128,3.90625,16.40625,21.875,16.40625,14.0625,27.34375
7,57,3.5087719,15.789474,17.543859,14.035088,14.035088,35.087719
8,28,7.1428571,10.714286,21.428572,21.428572,7.1428571,32.142857
9,17,0,17.647058,11.764706,41.176472,0,29.411764
