BCR,N,Mean,Median,P25,P75,Censored,M12,M24
1,24,27.432802,11.236139,8.6078033,,50,46.167435,46.167435
2,32,12.442206,4.8624229,1.1498973,17.741274,68.75,37.239582,20.947266
3,64,18.254539,8.7392197,3.7453799,26.710472,42.1875,38.731766,27.263344
4,32,7.9861865,3.0225873,1.0184805,8.0492811,25,23.863636,5.965909
5,40,6.6885743,3.9425051,1.3798769,9.3634501,17.5,13.521194,6.7605968
6,55,18.981396,2.7597537,1.2156057,18.036961,50.909092,28.710791,24.609249
