BCR,N,Median,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y10,Censored
1,84,79.080086,.96322256,.9364664,.82469612,.74672705,.70329762,.62454063,.45402461,.37457031,.2407952,63.095238
2,208,53.289528,.92218363,.81404006,.66659796,.54212612,.45244288,.37815553,.34439164,.29867241,.19712378,45.673077
3,271,50.201233,.85893846,.76226854,.63617295,.5208739,.42680457,.31938609,.27402031,.21633184,.13643371,41.697418
4,89,45.601643,.78184086,.67316389,.5549233,.48126286,.44298059,.28656626,.28656626,.17910391,.17910391,40.44944
5,190,29.667351,.73972493,.58281964,.45771,.36890018,.29194543,.21279909,.21279909,.15959932,.15959932,35.789474
6,26,19.975359,.76923078,.43377674,.33738193,.28918451,.23134761,.1735107,.1735107,,,26.923077
