drug,strength_mg,pack_size,aemp,program,setting,kind,form,max_amount_mg,code,brand,sched
Pomalidomide,4,21,1412.15,HB,public,oral,Capsule 4 mg,,10387Q,Pomalidomide Sandoz,2026-07-01
Pomalidomide,1,14,264.06,HS,private,oral,Capsule 1 mg,,13813B,Pomolide,2026-07-01
Pomalidomide,1,21,396.09,HS,private,oral,Capsule 1 mg,,13814C,Pomalidomide Sandoz,2026-07-01
Pomalidomide,2,14,470.72,HS,private,oral,Capsule 2 mg,,13812Y,Pomolide,2026-07-01
Pomalidomide,2,21,706.08,HS,private,oral,Capsule 2 mg,,13811X,Pomalidomide Sandoz,2026-07-01
Pomalidomide,3,14,706.08,HS,private,oral,Capsule 3 mg,,12668R,Pomolide,2026-07-01
Pomalidomide,3,21,1059.12,HS,private,oral,Capsule 3 mg,,10417G,Pomolide,2026-07-01
Pomalidomide,4,14,941.43,HS,private,oral,Capsule 4 mg,,12661J,Pomolide,2026-07-01
Pomalidomide,4,21,1412.15,HS,private,oral,Capsule 4 mg,,10386P,Pomolide,2026-07-01
Thalidomide,50,28,265.35,HB,public,oral,Capsule 50 mg,,9566L,Thalomid,2026-07-01
Thalidomide,100,28,530.69,HB,public,oral,Capsule 100 mg,,9667T,Thalomid,2026-07-01
Thalidomide,50,28,265.35,HS,private,oral,Capsule 50 mg,,6469L,Thalomid,2026-07-01
Thalidomide,100,28,530.69,HS,private,oral,Capsule 100 mg,,9684Q,Thalomid,2026-07-01
