drug,strength_mg,pack_size,aemp,program,setting,kind,form,max_amount_mg,code,brand,sched
Pomalidomide,4,14,2217.22,HB,public,oral,Capsule 4 mg,,12665N,Pomalyst,2025-07-01
Pomalidomide,4,21,3325.83,HB,public,oral,Capsule 4 mg,,10387Q,Pomalyst,2025-07-01
Pomalidomide,1,14,621.91,HS,private,oral,Capsule 1 mg,,13813B,Pomolide,2025-07-01
Pomalidomide,1,21,932.87,HS,private,oral,Capsule 1 mg,,13814C,Pomalidomide Sandoz,2025-07-01
Pomalidomide,2,14,1108.61,HS,private,oral,Capsule 2 mg,,13812Y,Pomolide,2025-07-01
Pomalidomide,2,21,1662.92,HS,private,oral,Capsule 2 mg,,13811X,Pomolide,2025-07-01
Pomalidomide,3,14,1662.92,HS,private,oral,Capsule 3 mg,,12668R,Pomalidomide Sandoz,2025-07-01
Pomalidomide,3,21,2494.38,HS,private,oral,Capsule 3 mg,,10417G,Pomalyst,2025-07-01
Pomalidomide,4,14,2217.22,HS,private,oral,Capsule 4 mg,,12661J,Pomolide,2025-07-01
Pomalidomide,4,21,3325.83,HS,private,oral,Capsule 4 mg,,10386P,Pomalidomide Sandoz,2025-07-01
Thalidomide,50,28,265.35,HB,public,oral,Capsule 50 mg,,9566L,Thalomid,2025-07-01
Thalidomide,100,28,530.69,HB,public,oral,Capsule 100 mg,,9667T,Thalomid,2025-07-01
Thalidomide,50,28,265.35,HS,private,oral,Capsule 50 mg,,6469L,Thalomid,2025-07-01
Thalidomide,100,28,530.69,HS,private,oral,Capsule 100 mg,,9684Q,Thalomid,2025-07-01
