parameter,value,unit,note
cVCd,663.69,AUD/cyc,PBS DPMQ 2026 (wholepack)
cVRd,1013.23,AUD/cyc,PBS DPMQ 2026 (wholepack)
cRd,817.61,AUD/cyc,PBS DPMQ 2026 (wholepack)
cKd_p1,12629.70,AUD/cyc,PBS DPMQ 2026 (wholepack)
cKd_p2,15040.68,AUD/cyc,PBS DPMQ 2026 (wholepack)
cDVd_p1,22393.46,AUD/cyc,PBS DPMQ 2026 (wholepack)
cDVd_p2,7778.86,AUD/cyc,PBS DPMQ 2026 (wholepack)
cDVd_p3,7307.30,AUD/cyc,PBS DPMQ 2026 (wholepack)
cPd,1460.27,AUD/cyc,PBS DPMQ 2026 (wholepack)
cVd,491.00,AUD/cyc,PBS DPMQ 2026 (wholepack)
cOther,987.89,AUD/cyc,PBS DPMQ 2026 (wholepack)
cMNT,620.15,AUD/cyc,PBS DPMQ 2026 (wholepack)
cASCT,41723.26,AUD,AR-DRG R06 x NEP
cHosp_initial,30878.66,AUD/yr,Yap 2025 cHosp initial phase (to 2026)
cHosp_continuing,14840.65,AUD/yr,Yap 2025 cHosp continuing phase (to 2026)
cHosp_terminal,73136.99,AUD/yr,Yap 2025 cHosp terminal phase (to 2026)
cMBS_initial,9878.46,AUD/yr,Yap 2025 cMBS initial phase (to 2026)
cMBS_continuing,4946.89,AUD/yr,Yap 2025 cMBS continuing phase (to 2026)
cMBS_terminal,9648.36,AUD/yr,Yap 2025 cMBS terminal phase (to 2026)
cEmer_initial,1225.24,AUD/yr,Yap 2025 cEmer initial phase (to 2026)
cEmer_continuing,587.75,AUD/yr,Yap 2025 cEmer continuing phase (to 2026)
cEmer_terminal,2977.90,AUD/yr,Yap 2025 cEmer terminal phase (to 2026)
