BCR,N,Mean,Median,P25,P75,Censored,M12,M24
1,66,37.165813,16.85421,1.1170431,105.82341,34.848484,53.58744,40.725845
2,143,34.388706,16.525667,1.1498973,61.733059,41.958042,54.488415,43.904739
3,202,27.789585,4.3367558,.68993843,27.400412,31.683168,39.319309,26.974037
4,64,9.3746595,.91991788,.16427104,10.184805,29.6875,22.92,20.055
5,94,13.039531,1.0184805,.16427104,16.788502,22.340425,27.799639,19.717617
6,63,1.6231637,.39425051,.098562628,1.3141683,14.285714,3.6379404,3.6379404
