BCR,N,Mean,Median,P25,P75,Censored,M12,M24
1,17,,,,,,,
2,19,,,,,,,
3,77,22.395515,10.151951,4.8624229,33.051334,38.96104,43.570892,32.126343
4,38,16.777891,3.0225873,1.6427104,15.638604,23.68421,27.682844,19.77346
5,36,8.4068851,3.2197125,1.2813141,9.8234091,13.888889,20.74074,13.827161
6,60,9.1783123,2.7597537,1.2156057,13.765914,23.333334,26.271561,15.012321
