BCR,N,Median,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y10,Censored
1,33,58.611908,.9375,.83793104,.79802954,.74102747,.42344424,.42344424,.42344424,.42344424,,66.666664
2,72,42.907597,.89643741,.63496739,.52162635,.41445583,.33245119,.25329617,.25329617,.18997212,,45.833332
3,129,33.839836,.79801631,.583731,.46717265,.37897217,.29642335,.27525026,.21408352,.12845011,.12845011,40.310078
4,59,18.694046,.71575612,.43008038,.38707235,.35729757,.20097987,.20097987,.1507349,.1507349,,33.898304
5,50,20.435318,.71937829,.46259153,.30278718,.21627656,.21627656,.21627656,.21627656,,,40
6,93,10.77618,.46979848,.37141052,.29954019,.23468438,.21512735,.12292992,.098343931,.098343931,,22.580645
