Refr,N,Median,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y10,Censored
0,698,56.049282,.86912382,.7488935,.62905073,.54406321,.4557057,.37672532,.31261879,.25990039,.22892618,51.002865
1,124,22.209446,.67825913,.46775785,.35098714,.32398811,.32398811,.32398811,.32398811,,,50.80645
