CM,N,Median,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y10,Censored
0,965,97.90554,.95357692,.89296001,.84000844,.75701731,.69891852,.63325447,.57636774,.51281381,.40938628,69.430054
1,653,56.082134,.88548863,.77005458,.6699335,.57154751,.48927,.37280148,.32742351,.25611913,.20581001,52.373661
2,270,44.090347,.83977306,.71058249,.59124047,.46621954,.38406414,.34921569,.27409092,.20059395,.1755197,46.296295
