BCR,N,Mean,Median,P25,P75,Censored,M12,M24
1,78,57.095146,58.644764,11.958932,80.492813,58.974358,74.106804,60.320763
2,191,31.395727,11.268993,2.201232,52.139629,34.031414,46.511509,32.401962
3,250,19.013788,2.2340863,.45995894,12.64887,23.200001,26.068413,17.252069
4,85,16.355944,.59137577,.19712526,2.1355236,22.352942,16.926704,16.926704
5,134,21.545265,1.2156057,.22997947,28.616016,35.820896,35.631657,26.676107
6,23,3.7115567,.68993843,.22997947,8.6735115,30.434782,13.018052,13.018052
