BCR,N,Median,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y10,Censored
1,232,112.32854,.99561405,.96458948,.89272588,.83668387,.77485085,.68617612,.61882216,.58157825,.40134677,76.724136
2,255,103.75359,.9793247,.93468636,.89677411,.80834639,.7645905,.67385435,.61370748,.53732675,.44440562,75.294121
3,122,98.825462,.97381961,.92787635,.89712179,.81749696,.73527867,.68259329,.60674953,.5372262,.49885288,72.950821
4,27,111.11294,.92307693,.8021853,.8021853,.74870628,.68631411,.68631411,.68631411,.68631411,.45754275,70.370369
