BCR,N,Median,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y10,Censored
1,105,79.080086,.91950929,.88612908,.78087151,.71515095,.67885125,.61144531,.46101037,.35673422,.22932914,63.809525
2,255,48.197124,.88142806,.77233964,.60826731,.50328195,.42230064,.34891137,.31867024,.27819139,.18967594,43.137257
3,332,47.605751,.84776866,.73495698,.61591578,.49598068,.3991707,.28728777,.24958484,.19150837,.12596235,40.060242
4,100,38.439426,.74550843,.63849193,.52283221,.45856795,.42481226,.28352088,.28352088,.17720054,.17720054,39
5,51,40.279263,.82038808,.62483871,.55444789,.47128072,.36355942,.31162235,.31162235,.31162235,.31162235,45.098038
6,31,19.975359,.74053293,.45301542,.37064898,.24709933,.19767946,.1482596,.1482596,,,25.806452
