BCR,N,Mean,Median,P25,P75,Censored,M12,M24
1,191,4.0295429,3.6796715,2.7597537,4.9609857,0,1.0471205,0
2,222,4.2103705,3.6796715,2.9240246,4.8624229,0,1.3513514,0
3,129,3.8689015,3.5482547,2.9568789,4.3696098,0,0,0
4,101,4.3897777,3.9753594,3.2197125,4.895277,0,.99009901,0
