Line,N,CR,VG,PR,MR,SD,PD
1,1689,13.617525,30.905861,40.674957,7.9336886,3.9076376,2.9603314
2,636,36.477989,40.094341,19.18239,4.2452831,,
3,826,12.227603,22.397095,33.777241,11.743341,9.443099,10.411622
4,440,7.5,16.818182,29.545454,13.409091,11.590909,21.136364
5,252,6.7460318,7.9365077,31.746031,15.079365,14.68254,23.809525
6,128,5.46875,10.9375,25.78125,13.28125,16.40625,28.125
7,57,7.0175438,8.7719297,17.543859,10.526316,21.052631,35.087719
8,28,7.1428571,7.1428571,25,32.142857,3.5714285,25
9,17,0,23.529411,23.529411,23.529411,5.8823528,23.529411
