BCR,N,Mean,Median,P25,P75,Censored,M12,M24
1,104,14.452941,8.0492811,5.3552361,12.517454,10.576923,26.247152,16.341169
2,255,17.901829,7.8193021,4.5995893,12.616016,12.54902,26.652437,11.453628
3,332,12.879592,5.4866529,3.2197125,9.8562632,9.9397593,19.293402,12.124766
4,100,3.9540944,3.0882957,2.0041068,4.7310061,8,1.9854966,1.9854966
5,51,8.871603,3.3511293,1.8398358,5.7494864,11.764706,12.073348,9.6586781
6,31,14.945406,4.1396303,2.0041068,8.0492811,16.129032,16.935484,12.701612
