BCR,N,Mean,Median,P25,P75,Censored,M12,M24
1,33,34.165295,28.090349,10.940452,57.330597,39.39394,71.614586,55.14706
2,72,17.075001,9.2648869,5.5852156,21.322382,22.222221,45.070877,22.99268
3,130,19.394403,8.7063656,3.2854209,19.876797,23.076923,37.185207,24.906054
4,59,16.411573,5.0595484,2.0698152,13.437371,20.338984,31.830769,16.97641
5,51,11.581222,5.9137578,2.4969199,14.685832,27.450981,25.996962,18.486729
6,93,13.368997,3.4825461,1.3141683,5.979466,18.27957,19.347843,15.830054
