BCR,N,Median,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y10,Censored
1,98,80.591377,.94460225,.92038172,.83349168,.79987758,.70301741,.58797818,.46198288,.41065145,.41065145,72.448982
2,184,63.835728,.90294033,.79317534,.67930484,.59289211,.52815682,.45712438,.33812538,.2878091,.19735481,56.52174
3,278,48.755646,.88798124,.71442068,.59446746,.50967956,.39551312,.32487568,.31010863,.25916219,.23560201,51.079136
4,97,32,.69931912,.56444973,.43991157,.32452279,.27043566,.2366312,.2366312,.2366312,.2366312,39.175259
5,77,58.907597,.80520105,.67071396,.59431994,.52373022,.42553079,.35351789,.35351789,.20201021,.20201021,51.948051
6,85,23.490759,.63479298,.49570507,.31562266,.25744906,.23599498,.16550297,.068959571,,,28.235294
