category,trial_VRd,calibrated_transport,observed_VRd
CR,15.74074074074074,10.78674887874656,15.76517150395778
VGPR,27.77777777777778,22.66400456428528,27.83641160949868
PR,37.96296296296296,36.61387860774994,23.21899736147757
SD,15.74074074074074,27.98182368278503,32.25593667546175
PD,2.777777777777778,1.953543908894062,.9234828496042217
>=VGPR,43.51851851851853,33.45075344303184,43.60158311345646
ORR,81.4814814814815,70.06463205078177,66.82058047493405
MAE_pp,6.639304211863578,5.769976993732707,
